学年	英単語	品詞	正解の意味	学年の根拠
2	lives	名詞	「life」の複数形	中学2年
2	living	形容詞	生きている	中学2年
2	living room	名詞	居間	中学2年
1	log	名詞	丸太	小学校語彙
3	logging	名詞	伐採	中学3年
2	lonely	形容詞	ひとりぼっちの	中学2年
1	long	形容詞	長い	小学校語彙
1	look	動詞	見る	小学校語彙
2	lose	動詞	…を失う	中学2年
3	lost	動詞	「lose」の過去形	中学3年
1	lot	名詞	たくさん	中学1年
2	loud	副詞	大きな声で	中学2年
1	low	形容詞	低い	小学校語彙
1	luck	名詞	運	中学1年
3	lullaby	名詞	子守歌	中学3年
1	lunch	名詞	昼食	小学校語彙
1	made	動詞	「make」の過去形	中学1年
1	main	形容詞	主な	中学1年
1	man	名詞	男性	小学校語彙
1	many	形容詞	たくさんの	小学校語彙
1	map	名詞	地図	小学校語彙
2	marble	名詞	大理石	中学2年
1	March	名詞	3月	小学校語彙
1	marker	名詞	マーカー	小学校語彙
3	match	動詞	…と調和する	中学3年
1	math	名詞	数学	小学校語彙
1	may	助動詞	〜してもよい	小学校語彙
1	maybe	副詞	たぶん	中学1年
2	mayor	名詞	市長	中学2年
1	me	代名詞	私を	小学校語彙
1	mean	動詞	…を意味する	中学1年
3	meant	動詞	「mean」の過去形	中学3年
2	measure	動詞	…をはかる	中学2年
2	mechanical	形容詞	機械の	中学2年
2	medium	形容詞	中くらいの	中学2年
1	melon	名詞	メロン	小学校語彙
2	menu	名詞	メニュー	中学2年
3	message	名詞	伝言	中学3年
1	met	動詞	「meet」の過去形	中学1年
2	meter	名詞	メートル	中学2年
2	middle	名詞	中央	中学2年
未確認	mild	形容詞	穏やかな	未確認
1	milk	名詞	牛乳	小学校語彙
1	mine	代名詞	私のもの	中学1年
未確認	mini debate	名詞	ミニディベート	未確認
2	mixed	形容詞	混合した	中学2年
未確認	mom	名詞	お母さん	未確認
1	moment	名詞	瞬間	中学1年
3	mommy	名詞	お母さん	中学3年
1	Monday	名詞	月曜日	小学校語彙
未確認	money	名詞	金	未確認
1	monkey	名詞	サル	小学校語彙
2	moon	名詞	月	中学2年
1	mop	名詞	モップ	小学校語彙
1	moral education	名詞	道徳	小学校語彙
3	morally	副詞	道徳上	中学3年
2	more	副詞	もっと…	中学2年
3	moreover	副詞	なおそのうえに	中学3年
1	morning	名詞	朝	小学校語彙
2	mosque	名詞	モスク	中学2年
2	most	副詞	いちばん…	中学2年
1	mother	名詞	母	小学校語彙
1	mouse	名詞	ネズミ	小学校語彙
1	mouth	名詞	口	小学校語彙
2	move	動詞	…を動かす	中学2年
3	movement	名詞	動き	中学3年
1	Mr.	名詞	〜さん（男性）	小学校語彙
2	Mrs.	名詞	〜さん（既婚女性）	中学2年
1	Ms.	名詞	〜さん（女性）	小学校語彙
1	Mt.	名詞	〜山	中学1年
1	much	副詞	おおいに	中学1年
1	museum	名詞	博物館	小学校語彙
1	mushroom	名詞	キノコ	小学校語彙
1	music	名詞	音楽	小学校語彙
3	musical	名詞	ミュージカル	中学3年
2	must	助動詞	…しなければならない	中学2年
1	my	代名詞	私の	小学校語彙
1	name	名詞	名前	小学校語彙
3	national	形容詞	国の	中学3年
3	native	形容詞	固有の	中学3年
3	natural gas	名詞	天然ガス	中学3年
1	naughty	形容詞	いたずらな	中学1年
1	near	前置詞	…の近くに	中学1年
1	neck	名詞	首	小学校語彙
1	net	名詞	網	小学校語彙
1	never	副詞	決して…ない	小学校語彙
3	news	名詞	ニュース	中学3年
1	newspaper	名詞	新聞	小学校語彙
未確認	New Year	名詞	新年	未確認
1	New Year's Day	名詞	元日	小学校語彙
1	New Year's Eve	名詞	大みそか	小学校語彙
1	New Zealand	名詞	ニュージーランド	中学1年
1	next	形容詞	次の	中学1年
1	nice	形容詞	すてきな	小学校語彙
1	night	名詞	夜	小学校語彙
1	nine	名詞・形容詞	9つ	小学校語彙
1	nineteen	名詞・形容詞	19（十九）	小学校語彙
未確認	nineteenth	名詞・形容詞	19番目の	未確認
1	ninety	名詞・形容詞	90（九十）	小学校語彙
未確認	ninth	名詞・形容詞	9番目の	未確認
1	no	副詞	いいえ	小学校語彙
1	nod	動詞	うなずく	中学1年
未確認	non-violence	名詞	非暴力	未確認
未確認	non-violent	形容詞	非暴力の	未確認
2	noodle	名詞	ヌードル	中学2年
1	nose	名詞	鼻	小学校語彙
1	not	副詞	…でない	小学校語彙
2	note	名詞	メモ	中学2年
1	notebook	名詞	ノート	小学校語彙
2	nothing	代名詞	何も…ない	中学2年
1	November	名詞	11月	小学校語彙
1	now	副詞	今	小学校語彙
3	nowadays	副詞	このごろは	中学3年
3	nuclear	形容詞	核の	中学3年
1	number	名詞	数	小学校語彙
1	nurse	名詞	看護師	小学校語彙
2	nursery	名詞	保育所	中学2年
1	nurse's office	名詞	保健室	小学校語彙
1	ocean	名詞	大洋	小学校語彙
1	o’clock	副詞	…時	中学1年
1	October	名詞	10月	小学校語彙
1	octopus	名詞	タコ	小学校語彙
1	of	前置詞	〜の	中学1年
1	off	副詞	切れて	中学1年
1	office	名詞	事務所	小学校語彙
1	oh	間投詞	まあ	小学校語彙
3	oil	名詞	油	中学3年
1	OK	間投詞	よろしい	小学校語彙
1	old	形容詞	…歳の	小学校語彙
1	omelet	名詞	オムレツ	小学校語彙
1	on	前置詞	…の一員で	小学校語彙
2	once	副詞	一度	中学2年
1	one	名詞・形容詞	1つ	小学校語彙
1	onion	名詞	タマネギ	小学校語彙
1	online	副詞	オンラインで	中学1年
未確認	only	副詞	ただ…だけ	未確認
1	oops	間投詞	おっと	中学1年
2	operation	名詞	手術	中学2年
未確認	or	接続詞	…かまたは～	未確認
1	orange	名詞・形容詞	オレンジ	小学校語彙
3	ordinary	形容詞	ふつうの	中学3年
1	original	形容詞	独創的な	中学1年
未確認	other	形容詞	もう1つの	未確認
1	our	代名詞	私たちの	中学1年
未確認	ours	代名詞	私たちのもの	未確認
1	out	副詞	外へ	小学校語彙
1	over	前置詞	…より多く	中学1年
未確認	overhunting	名詞	乱獲	未確認
2	paid	形容詞	支払い済みの	中学2年
3	paint	動詞	…にペンキを塗る	中学3年
2	painting	名詞	絵	中学2年
1	pair	名詞	1対、1組	小学校語彙
未確認	palace	名詞	宮殿	未確認
1	pan	名詞	平なべ	小学校語彙
1	pancake	名詞	パンケーキ	小学校語彙
1	panda	名詞	パンダ	小学校語彙
1	pants	名詞	ズボン	小学校語彙
1	pardon	動詞	もう一度言ってください	中学1年
1	parfait	名詞	パフェ	小学校語彙
1	park	名詞	公園	小学校語彙
2	part	名詞	部分	中学2年
1	party	名詞	パーティー	小学校語彙
2	pass	動詞	～を手渡す	中学2年
2	past	名詞	過去	中学2年
未確認	patty	名詞	パティ	未確認
2	pay	動詞	払う	中学2年
1	P.E.	名詞	体育	小学校語彙
未確認	peaceful	形容詞	平和な	未確認
1	peach	名詞	モモ	小学校語彙
2	pear	名詞	西洋ナシ	中学2年
1	pen	名詞	ペン	小学校語彙
1	pencil	名詞	えんぴつ	小学校語彙
1	pencil case	名詞	筆箱	小学校語彙
1	penguin	名詞	ペンギン	小学校語彙
未確認	person	名詞	人	未確認
3	personality	名詞	個性	中学3年
1	pet	名詞	ペット	小学校語彙
1	photo	名詞	写真	小学校語彙
2	photograph	名詞	写真	中学2年
2	photographer	名詞	写真家	中学2年
1	piano	名詞	ピアノ	小学校語彙
1	pick	動詞	…を拾い上げる	中学1年
2	picture book	名詞	絵本	中学2年
1	pie	名詞	パイ	小学校語彙
3	piece	名詞	部分	中学3年
1	pilot	名詞	パイロット	小学校語彙
1	pineapple	名詞	パイナップル	小学校語彙
1	pink	名詞・形容詞	ピンク	小学校語彙
1	pizza	名詞	ピザ	小学校語彙
2	planet	名詞	惑星	中学2年
2	plant	名詞	植物	中学2年
1	play	動詞	する	小学校語彙
1	player	名詞	競技者	小学校語彙
2	playful	形容詞	楽しげな	中学2年
1	please	副詞	どうぞ	小学校語彙
2	plum	名詞	西洋スモモ	中学2年
1	p.m.	副詞	午後	小学校語彙
未確認	pocket	名詞	ポケット	未確認
2	point	名詞	特徴	中学2年
1	police officer	名詞	警察官	小学校語彙
1	police station	名詞	警察署	小学校語彙
2	pollute	動詞	を汚す	中学2年
2	poor	形容詞	貧しい	中学2年
2	pop	名詞	ポンと鳴る音	中学2年
1	pork	名詞	豚肉	小学校語彙
3	position	名詞	位置	中学3年
2	possible	形容詞	可能な	中学2年
1	poster	名詞	ポスター	中学1年
1	post office	名詞	郵便局	小学校語彙
2	pot	名詞	つぼ	中学2年
1	potato	名詞	ジャガイモ	小学校語彙
2	power	動詞	…に動力を供給する	中学2年
1	practice	動詞	練習する	小学校語彙
未確認	prepare	動詞	準備をする	未確認
3	prepared	形容詞	用意ができている	中学3年
1	present	名詞	プレゼント	小学校語彙
2	presentation	名詞	発表	中学2年
3	president	名詞	大統領	中学3年
2	pretty	形容詞	かわいい	中学2年
2	price	名詞	値段	中学2年
1	principal's office	名詞	校長室	小学校語彙
3	print	動詞	…を印刷する	中学3年
未確認	printer	名詞	印刷工	未確認
3	probably	副詞	十中八九	中学3年
1	problem	名詞	問題	中学1年
3	produce	動詞	…を生産する	中学3年
3	program	名詞	プログラム	中学3年
3	progress	動詞	進歩する	中学3年
3	prohibit	動詞	…を禁止する	中学3年
未確認	prop	名詞	小道具	未確認
3	publish	動詞	…を出版する	中学3年
2	pull	動詞	…をひく	中学2年
1	purple	名詞・形容詞	紫	小学校語彙
3	pursue	動詞	…を追い求める	中学3年
2	put	動詞	「put」の過去形	中学2年
3	quarter	名詞	4分の1	中学3年
1	queen	名詞	女王	小学校語彙
1	quiet	形容詞	静かな	小学校語彙
3	quietly	副詞	静かに	中学3年
3	quite	副詞	かなり	中学3年
2	quiz	名詞	クイズ	中学2年
1	rabbit	名詞	ウサギ	小学校語彙
1	racket	名詞	ラケット	小学校語彙
3	radiation	名詞	放射能	中学3年
1	rain	名詞	雨	小学校語彙
3	rainwater	名詞	雨水	中学3年
1	rainy	形容詞	雨の	小学校語彙
1	raise	動詞	…を上げる	小学校語彙
2	ramen	名詞	ラーメン	中学2年
2	ramp	名詞	スロープ	中学2年
1	ran	動詞	「run」の過去形	中学1年
3	reach	動詞	…に達する	中学3年
3	reader	名詞	読者	中学3年
1	reading	名詞	読書	小学校語彙
3	ready	形容詞	用意ができて	中学3年
3	real	形容詞	本当の	中学3年
未確認	realize	動詞	…だと気づく	未確認
1	really	副詞	本当ですか	小学校語彙
2	reason	名詞	理由	中学2年
2	recently	副詞	最近	中学2年
2	recognize	動詞	…とわかる	中学2年
未確認	recommended	形容詞	おすすめの	未確認
1	recorder	名詞	リコーダー	小学校語彙
1	rectangle	名詞	長方形	小学校語彙
1	red	名詞・形容詞	赤	小学校語彙
2	regardless	副詞	何があっても	中学2年
3	regional	形容詞	地方の	中学3年
3	relate	動詞	…を関係させる	中学3年
3	relatively	副詞	比較的	中学3年
1	relay	名詞	リレー競走	中学1年
2	remind	動詞	…に思い出させる	中学2年
3	renewable	形容詞	再生可能な	中学3年
1	repeat	動詞	くり返し言う	小学校語彙
2	reply	動詞	…と答える	中学2年
3	report	名詞	報告	中学3年
3	represent	動詞	…を象徴する	中学3年
1	researcher	名詞	研究者	小学校語彙
2	resident	名詞	住民	中学2年
3	resource	名詞	資源	中学3年
3	responsible	形容詞	責任がある	中学3年
1	rest	名詞	休み	中学1年
1	restaurant	名詞	レストラン	小学校語彙
1	restroom	名詞	手洗い	小学校語彙
2	result	名詞	結果	中学2年
2	return	動詞	帰る	中学2年
2	review	動詞	…を見直す	中学2年
1	rice	名詞	米	小学校語彙
1	rice ball	名詞	おにぎり	小学校語彙
未確認	rich	形容詞	金持ちの	未確認
1	ride	動詞	…に乗る	小学校語彙
1	right	副詞	右に	小学校語彙
2	right-handed	形容詞	右利きの	中学2年
1	rise	動詞	のぼる	中学1年
1	river	名詞	川	小学校語彙
3	road	名詞	道路	中学3年
3	rode	動詞	「ride」の過去形	中学3年
未確認	role	名詞	役	未確認
1	room	名詞	部屋	小学校語彙
3	root	名詞	起源	中学3年
1	rose	動詞	「rise」の過去形	中学1年
1	round	形容詞	丸い	小学校語彙
1	rugby	名詞	ラグビー	小学校語彙
1	ruler	名詞	定規	小学校語彙
1	run	動詞	走る	小学校語彙
1	runner	名詞	走者	中学1年
未確認	(1970)s	名詞	1970年代	未確認
未確認	(Riko)'s	所有格	リコの	未確認
1	sad	形容詞	悲しい	小学校語彙
未確認	safe	形容詞	安全な	未確認
3	safely	副詞	安全に	中学3年
1	said	動詞	「say」の過去形	中学1年
1	salad	名詞	サラダ	小学校語彙
1	salty	形容詞	塩気のある	小学校語彙
1	sandwich	名詞	サンドイッチ	小学校語彙
1	Saturday	名詞	土曜日	小学校語彙
2	sauce	名詞	ソース	中学2年
1	sausage	名詞	ソーセージ	小学校語彙
1	save	動詞	…を救う	小学校語彙
1	saw	動詞	「see」の過去形	小学校語彙
2	scene	名詞	景色	中学2年
1	school	名詞	学校	小学校語彙
1	school festival	名詞	文化祭	小学校語彙
1	school trip	名詞	修学旅行	小学校語彙
1	science	名詞	科学	小学校語彙
1	scientist	名詞	科学者	小学校語彙
1	scissors	名詞	はさみ	小学校語彙
3	scroll	名詞	巻物	中学3年
1	sea	名詞	海	小学校語彙
2	seafood	名詞	シーフード	中学2年
3	sea otter	名詞	ラッコ	中学3年
1	sea turtle	名詞	ウミガメ	小学校語彙
1	second	名詞・形容詞	2番目の	小学校語彙
1	see	動詞	わかる	小学校語彙
3	seem	動詞	…のように見える	中学3年
2	seen	動詞	「see」の過去分詞	中学2年
2	selection	名詞	選択	中学2年
2	sell	動詞	…を売る	中学2年
2	send	動詞	～をおくる	中学2年
未確認	sent	動詞	「send」の過去形	未確認
2	sentence	名詞	文	中学2年
1	September	名詞	9月	小学校語彙
未確認	server	名詞	サーブをする選手	未確認
3	service	名詞	サービス	中学3年
1	set	動詞	「set」の過去形	中学1年
未確認	setter	名詞	トスを上げる選手	未確認
1	seven	名詞・形容詞	7つ	小学校語彙
1	seventeen	名詞・形容詞	17（十七）	小学校語彙
未確認	seventeenth	名詞・形容詞	17番目の	未確認
未確認	seventh	名詞・形容詞	7番目の	未確認
1	seventy	名詞・形容詞	70（七十）	小学校語彙
2	severe	形容詞	厳しい	中学2年
3	shade	名詞	陰	中学3年
2	shadow	名詞	影	中学2年
未確認	shall	助動詞	〜しましょうか	未確認
1	shape	名詞	形	小学校語彙
2	share	動詞	…を共有する	中学2年
1	shark	名詞	サメ	小学校語彙
1	shaved ice	名詞	かき氷	小学校語彙
1	she	代名詞	彼女	小学校語彙
1	shirt	名詞	シャツ	小学校語彙
3	shock	動詞	…に衝撃をあたえる	中学3年
1	shoe	名詞	くつ	小学校語彙
1	shop	名詞	店	小学校語彙
1	shopping	名詞	買い物	小学校語彙
1	short	形容詞	短い	小学校語彙
3	shortly	副詞	まもなく	中学3年
2	should	助動詞	…すべきである	中学2年
1	shoulder	名詞	肩	小学校語彙
未確認	shout	動詞	叫ぶ	未確認
1	show	名詞	ショー	中学1年
2	shower	名詞	シャワー	中学2年
1	shrine	名詞	神社	小学校語彙
1	shy	形容詞	内気な	小学校語彙
3	side	名詞	側	中学3年
3	sidewalk	名詞	歩道	中学3年
2	sincerely	副詞	心から	中学2年
1	sing	動詞	歌う	小学校語彙
2	Singapore	名詞	シンガポール	中学2年
1	singer	名詞	歌手	小学校語彙
1	sister	名詞	姉	小学校語彙
1	sit	動詞	すわる	小学校語彙
2	site	名詞	遺跡	中学2年
2	situation	名詞	立場	中学2年
1	six	名詞・形容詞	6つ	小学校語彙
1	sixteen	名詞・形容詞	16（十六）	小学校語彙
未確認	sixteenth	名詞・形容詞	16番目の	未確認
未確認	sixth	名詞・形容詞	6番目の	未確認
1	sixty	名詞・形容詞	60（六十）	小学校語彙
2	size	名詞	サイズ	中学2年
1	skate	動詞	スケートをする	小学校語彙
1	ski	動詞	スキーをする	中学1年
1	skiing	名詞	スキー	小学校語彙
3	sky	名詞	空	中学3年
3	sleep	動詞	眠る	中学3年
1	sleepy	形容詞	眠い	小学校語彙
2	slide	名詞	スライド	中学2年
1	slow	形容詞	遅い	小学校語彙
2	slowly	副詞	ゆっくりと	中学2年
1	small	形容詞	小さい	小学校語彙
1	smart	形容詞	りこうな	小学校語彙
1	smartphone	名詞	スマートフォン	小学校語彙
2	smile	動詞	ほほえむ	中学2年
1	smoke	名詞	煙	中学1年
1	snake	名詞	ヘビ	小学校語彙
未確認	snow	名詞	雪	未確認
1	snowy	形容詞	雪の降る	小学校語彙
未確認	so	接続詞	だから	未確認
1	soccer	名詞	サッカー	小学校語彙
1	social studies	名詞	社会科	小学校語彙
1	sock	名詞	靴下	小学校語彙
1	soda	名詞	ソーダ	小学校語彙
1	soft	形容詞	やわらかい	小学校語彙
1	softball	名詞	ソフトボール	小学校語彙
3	sold	動詞	「sell」の過去分詞	中学3年
3	solve	動詞	…を解決する	中学3年
1	some	形容詞	いくつかの	中学1年
1	someday	副詞	いつか	中学1年
1	someone	代名詞	だれか	中学1年
1	something	代名詞	何か	中学1年
2	sometime	副詞	いつか	中学2年
1	sometimes	副詞	ときどき	小学校語彙
3	son	名詞	息子	中学3年
1	song	名詞	歌	小学校語彙
1	sorry	形容詞	すまなく思って	小学校語彙
1	soup	名詞	スープ	小学校語彙
1	sour	形容詞	酸っぱい	小学校語彙
1	South Africa	名詞	南アフリカ共和国	中学1年
2	soy sauce	名詞	しょうゆ	中学2年
1	spaghetti	名詞	スパゲッティ	小学校語彙
1	speak	動詞	を話す	小学校語彙
未確認	special	形容詞	特別な	未確認
未確認	speed	名詞	スピード	未確認
1	spell	動詞	をつづる	小学校語彙
未確認	spend	動詞	を過ごす	未確認
1	spent	動詞	「spend」の過去形	中学1年
1	spicy	形容詞	香辛料のきいた	小学校語彙
1	spider	名詞	クモ	小学校語彙
未確認	spiker	名詞	スパイクを打つ選手	未確認
3	spill	名詞	こぼれ	中学3年
3	spirit	名詞	精神	中学3年
2	spoke	動詞	「speak 」の過去形	中学2年
1	sport	名詞	スポーツ	小学校語彙
1	sports day	名詞	運動会	小学校語彙
2	spread	動詞	「spread」の過去形	中学2年
1	spring	名詞	春	小学校語彙
1	square	名詞	正方形	小学校語彙
1	stadium	名詞	スタジアム	小学校語彙
2	staff	名詞	職員	中学2年
1	stage	名詞	舞台	中学1年
未確認	stair	名詞	階段	未確認
1	stand	動詞	立つ	小学校語彙
1	stapler	名詞	ホッチキス	小学校語彙
1	star	名詞	星	小学校語彙
1	Star Festival	名詞	七夕祭り	小学校語彙
1	start	動詞	始まる	小学校語彙
1	starter	名詞	先発メンバー	中学1年
1	stationery	名詞	文房具	小学校語彙
1	steak	名詞	ステーキ	小学校語彙
3	steam	名詞	蒸気	中学3年
2	stick	名詞	棒	中学2年
1	still	副詞	まだ	中学1年
1	stomachache	名詞	胃痛	中学1年
3	stood	動詞	「stand」の過去形	中学3年
1	stop	動詞	止まる	小学校語彙
2	story	名詞	話	中学2年
1	straw	名詞	ストロー	中学1年
1	strawberry	名詞	イチゴ	小学校語彙
1	student	名詞	学生	中学1年
3	studio	名詞	アトリエ	中学3年
2	such	形容詞	そのような	中学2年
2	suddenly	副詞	突然	中学2年
1	summer	名詞	夏	小学校語彙
1	sun	名詞	太陽	小学校語彙
1	Sunday	名詞	日曜日	小学校語彙
1	sunny	形容詞	日の当たる	小学校語彙
2	sunrise	名詞	日の出	中学2年
3	sunshine	名詞	日光	中学3年
1	supermarket	名詞	スーパーマーケット	小学校語彙
1	sure	副詞	もちろん	中学1年
1	surf	動詞	サーフィンをする	中学1年
2	surprised	形容詞	驚いた	中学2年
3	surround	動詞	…を囲む	中学3年
3	sustainable	形容詞	持続可能な	中学3年
1	sweater	名詞	セーター	小学校語彙
1	sweatshirt	名詞	スウェットシャツ	小学校語彙
1	swim	動詞	泳ぐ	小学校語彙
1	swimming	名詞	水泳	小学校語彙
1	swimming meet	名詞	水泳大会	小学校語彙
1	swimming pool	名詞	プール	小学校語彙
1	table	名詞	テーブル	小学校語彙
1	tablet	名詞	板状の小片	小学校語彙
1	table tennis	名詞	卓球	小学校語彙
2	tag	名詞	つけ札	中学2年
1	take	動詞	取る	小学校語彙
1	talk	動詞	話す	小学校語彙
2	tap	動詞	…を軽くたたく	中学2年
3	taste	名詞	味	中学3年
2	tasty	形容詞	おいしい	中学2年
2	taught	動詞	「teach」の過去形	中学2年
1	taxi	名詞	タクシー	小学校語彙
1	tea	名詞	茶	小学校語彙
1	team	名詞	チーム	小学校語彙
未確認	teammate	名詞	チームの仲間	未確認
3	technique	名詞	手法	中学3年
2	technology	名詞	技術	中学2年
1	teeth	名詞	「tooth」の複数形	小学校語彙
1	tell	動詞	…に話す	中学1年
1	temple	名詞	寺	小学校語彙
1	ten	名詞・形容詞	10（十）	小学校語彙
1	tennis	名詞	テニス	小学校語彙
未確認	tenth	名詞・形容詞	10番目の	未確認
3	text	動詞	携帯電話などでメッセージをおくる	中学3年
3	Thailand	名詞	タイ	中学3年
未確認	than	接続詞・前置詞	…よりも	未確認
1	thank	動詞	…に感謝する	小学校語彙
1	that	代名詞	そのこと	小学校語彙
1	the	冠詞	その	小学校語彙
3	theater	名詞	劇場	中学3年
未確認	their	代名詞	彼らの	未確認
未確認	theirs	代名詞	彼らのもの	未確認
未確認	them	代名詞	彼らを	未確認
1	then	副詞	そのとき	中学1年
1	there	副詞	そこに	中学1年
2	therefore	副詞	それゆえに	中学2年
未確認	these	代名詞	これら	未確認
1	they	代名詞	彼ら	中学1年
1	thing	名詞	もの	中学1年
1	think	動詞	考える	小学校語彙
1	third	名詞・形容詞	3番目の	小学校語彙
1	thirsty	形容詞	のどのかわいた	小学校語彙
1	thirteen	名詞・形容詞	13（十三）	小学校語彙
未確認	thirteenth	名詞・形容詞	13番目の	未確認
未確認	thirtieth	名詞・形容詞	30番目の	未確認
1	thirty	名詞・形容詞	30（三十）	小学校語彙
1	this	代名詞	これ	小学校語彙
1	those	形容詞	あれらの	中学1年
1	thought	動詞	「think」の過去形	中学1年
3	thousand	名詞・形容詞	千	中学3年
1	three	名詞・形容詞	3つ	小学校語彙
1	through	前置詞	…を通り抜けて	中学1年
1	Thursday	名詞	木曜日	小学校語彙
1	tiger	名詞	トラ	小学校語彙
3	tightly	副詞	しっかりと	中学3年
1	time	名詞	時刻	小学校語彙
未確認	timekeeping	名詞	時間の計測	未確認
2	tiny	形容詞	ごく小さい	中学2年
1	tired	形容詞	疲れた	小学校語彙
1	to	前置詞	〜へ	小学校語彙
1	today	名詞・副詞	今日	小学校語彙
1	toe	名詞	足の指	小学校語彙
2	told	動詞	「tell」の過去形	中学2年
1	tomato	名詞	トマト	小学校語彙
2	ton	名詞	トン	中学2年
1	too	副詞	…もまた	小学校語彙
1	took	動詞	「take」の過去形	中学1年
1	tooth	名詞	歯	小学校語彙
1	toothache	名詞	歯痛	中学1年
1	top	名詞	表面	中学1年
2	topping	名詞	トッピング	中学2年
2	touch	動詞	…にさわる	中学2年
2	tourism	名詞	観光	中学2年
2	tourist	名詞	観光客	中学2年
3	toward	前置詞	…のほうへ	中学3年
1	towel	名詞	タオル	小学校語彙
3	toy	名詞	おもちゃ	中学3年
1	track and field	名詞	陸上競技	小学校語彙
未確認	trade	名詞	貿易	未確認
2	tradition	名詞	伝統	中学2年
3	traffic accident	名詞	交通事故	中学3年
2	traffic jam	名詞	交通渋滞	中学2年
1	traffic light	名詞	交通信号	中学1年
2	trail	名詞	小道	中学2年
1	train	名詞	列車	小学校語彙
未確認	travel	動詞	旅行する	未確認
未確認	traveler	名詞	旅行者	未確認
1	tree	名詞	木	小学校語彙
1	triangle	名詞	三角形	小学校語彙
1	trick	名詞	いたずら	中学1年
1	trip	名詞	旅行	中学1年
2	trivia	名詞	雑学的な知識	中学2年
3	trouble	名詞	困難	中学3年
2	true	形容詞	本当の	中学2年
1	try	動詞	試す	中学1年
1	T-shirt	名詞	Tシャツ	小学校語彙
3	tsunami	名詞	津波	中学3年
1	Tuesday	名詞	火曜日	小学校語彙
2	turf	名詞	芝	中学2年
1	turn	名詞	順番	小学校語彙
1	TV	名詞	テレビ	小学校語彙
未確認	twelfth	名詞・形容詞	12番目の	未確認
1	twelve	名詞・形容詞	12（十二）	小学校語彙
未確認	twentieth	名詞・形容詞	20番目の	未確認
1	twenty	名詞・形容詞	20（二十）	小学校語彙
2	twice	副詞	2倍、2度	中学2年
1	two	名詞・形容詞	2つ	小学校語彙
2	type	名詞	タイプ	中学2年
未確認	U.K.	名詞	イギリス	未確認
1	umbrella	名詞	傘	小学校語彙
1	uncle	名詞	おじ	小学校語彙
1	under	前置詞	…の下に	小学校語彙
2	understood	動詞	「understand」の過去形	中学2年
3	unfold	動詞	を広げる	中学3年
1	uniform	名詞	制服	小学校語彙
未確認	United States	名詞	アメリカ合衆国	未確認
2	university	名詞	大学	中学2年
3	until	前置詞	…まで	中学3年
3	unusual	形容詞	ふつうでない	中学3年
1	up	副詞	どうしたのですか	小学校語彙
未確認	us	代名詞	私たちを	未確認
未確認	U.S.	名詞	アメリカ合衆国	未確認
未確認	use	動詞	…を使う	未確認
1	usually	副詞	たいてい	小学校語彙
2	variation	名詞	変化	中学2年
3	variety	名詞	さまざまな～	中学3年
3	vegan	名詞	完全菜食主義者	中学3年
1	vegetable	名詞	野菜	小学校語彙
1	vendor	名詞	もの売り	中学1年
1	very	副詞	非常に	小学校語彙
1	vet	名詞	獣医	小学校語彙
2	video	名詞	映像	中学2年
未確認	village	名詞	村	未確認
1	violin	名詞	バイオリン	小学校語彙
3	visitor	名詞	訪問客	中学3年
1	volleyball	名詞	バレーボール	小学校語彙
1	V sign	名詞	ブイサイン	小学校語彙
1	wake	動詞	目が覚める	小学校語彙
1	walk	動詞	歩く	小学校語彙
2	wall	名詞	かべ	中学2年
1	want	動詞	…がほしい	小学校語彙
3	war	名詞	戦争	中学3年
1	warm	形容詞	あたたかい	小学校語彙
1	was	動詞・助動詞	「am・is」の過去形	小学校語彙
1	wash	動詞	洗う	小学校語彙
1	water	名詞	水	小学校語彙
1	watermelon	名詞	スイカ	小学校語彙
3	wave	名詞	波	中学3年
1	way	名詞	道	中学1年
1	we	代名詞	私たち	小学校語彙
3	weak	形容詞	弱い	中学3年
未確認	weakly	副詞	弱く	未確認
1	wear	動詞	…を着ている	小学校語彙
1	weather	名詞	天気	小学校語彙
1	website	名詞	ウェブサイト	中学1年
1	Wednesday	名詞	水曜日	小学校語彙
2	weight	名詞	重さ	中学2年
1	welcome	形容詞	歓迎される	中学1年
1	well	副詞	上手に	小学校語彙
2	well-off	形容詞	裕福な	中学2年
1	went	動詞	「go」の過去形	小学校語彙
1	were	動詞	「are」の過去形	中学1年
1	whale	名詞	クジラ	小学校語彙
1	what	代名詞	何	小学校語彙
1	when	副詞	いつ	小学校語彙
1	where	副詞	どこ	小学校語彙
未確認	which	代名詞	どちら	未確認
3	while	名詞	時間	中学3年
1	white	名詞・形容詞	白	小学校語彙
1	who	代名詞	誰	小学校語彙
1	whose	代名詞	だれの	中学1年
1	why	副詞	なぜ	小学校語彙
2	wife	名詞	妻	中学2年
未確認	wild	形容詞	野生の	未確認
2	wilderness	名詞	荒野	中学2年
2	will	助動詞	…でしょう	中学2年
1	win	動詞	勝つ	中学1年
3	wind	名詞	風	中学3年
1	window	名詞	窓	中学1年
1	windy	形容詞	風の吹く	小学校語彙
3	wing	名詞	羽	中学3年
3	winner	名詞	勝者	中学3年
1	winter	名詞	冬	小学校語彙
2	wisdom	名詞	知恵	中学2年
1	with	前置詞	…といっしょに	中学1年
2	without	前置詞	…なしで	中学2年
2	woke	動詞	「wake」の過去形	中学2年
1	wolf	名詞	オオカミ	小学校語彙
1	woman	名詞	女性	小学校語彙
